Campanha;Tipo;Valor Antigo;Valor Novo;Motivo
SP | Keywords | Brand | Episol | Geral | Placement Rest Of Search;Placement;900.0;810.0;ROAS 3.79 abaixo do target em 5.2% → -10%
SP | Keywords | Brand | Episol Color | Placement Product Page;Placement;600.0;690.0;ROAS 6.27 acima do target em 56.7% → +15%
SP | Keywords | Brand | Episol Color | Placement Rest Of Search;Placement;600.0;660.0;ROAS 5.04 acima do target em 26.0% → +10%
SP | Keywords | Brand | Episol Color | Placement Top;Placement;600.0;720.0;ROAS 13.78 acima do target em 244.5% → +20%
SP | Keywords | Ivy C | Brand | Placement Product Page;Placement;900.0;765.0;ROAS 3.19 abaixo do target em 20.2% → -15%
SP | Keywords | Brand | Epidrat | Placement Product Page;Placement;900.0;765.0;ROAS 3.16 abaixo do target em 21.0% → -15%
SP | Keywords | Brand | Protetor solar em Pó | Placement Product Page;Placement;500.0;600.0;ROAS 8.59 acima do target em 114.8% → +20%
SP | Keywords | Brand | Protetor solar em Pó | Placement Rest Of Search;Placement;500.0;600.0;ROAS 21.32 acima do target em 433.0% → +20%
SP | Keywords | Reviline | Brand | Placement Rest Of Search;Placement;900.0;0.0;ROAS = 0 → placement zerado
SP | Keywords | Reviline | Brand | Placement Product Page;Placement;900.0;720.0;ROAS 1.10 muito abaixo do target em 72.5% → -20%
